NUMBER,STREET,CITY,POSTCODE
18,Kirchstrasse,Näfels,8752
45,Brandstrasse,Näfels,8752
43,Brandstrasse,Näfels,8752
5,Panoramastrasse,Filzbach,8757
19a,Oberdorf,Obstalden,8758
35a,Alte Kerenzerstrasse,Obstalden,8758
2a,Fliessenstrasse,Mühlehorn,8874
4,Winkelgasse,Mollis,8753
11,Erlenstrasse,Mollis,8753
13,Erlenstrasse,Mollis,8753
23,Erlenstrasse,Mollis,8753
19,Erlenstrasse,Mollis,8753
21,Erlenstrasse,Mollis,8753
15,Erlenstrasse,Mollis,8753
17,Erlenstrasse,Mollis,8753
25,Erlenstrasse,Mollis,8753
9,Moosbach,Mollis,8753
5,Niederwilerstrasse,Mollis,8753
5,Moosbach,Mollis,8753
8,Güterstrasse,Oberurnen,8868
1a,Kapellgasse,Oberurnen,8868
7,Sytenweg,Niederurnen,8867
2,Roseneggweg,Ziegelbrücke,8866
11a,Roseneggweg,Ziegelbrücke,8866
52a,Hauptstrasse,Niederurnen,8867
5,Martern,Niederurnen,8867
1,Dämmli,Niederurnen,8867
39b,Badstrasse,Niederurnen,8867
1b,Alte Gasse,Niederurnen,8867
12a,Poststrasse,Niederurnen,8867
25a,Speerstrasse,Niederurnen,8867
16,Speerstrasse,Niederurnen,8867
16,Luchswiesenstrasse,Bilten,8865
14,Luchswiesenstrasse,Bilten,8865
12,Luchswiesenstrasse,Bilten,8865
10,Luchswiesenstrasse,Bilten,8865
7,Luchswiesenstrasse,Bilten,8865
4,Luchswiesenstrasse,Bilten,8865
2,Luchswiesenstrasse,Bilten,8865
7,Neuländerstrasse,Bilten,8865
5,Rotbrückenstrasse,Bilten,8865
29,Brühlstrasse,Bilten,8865
27,Brühlstrasse,Bilten,8865
25,Brühlstrasse,Bilten,8865
23,Brühlstrasse,Bilten,8865
21,Brühlstrasse,Bilten,8865
17,Brühlstrasse,Bilten,8865
15,Brühlstrasse,Bilten,8865
13,Brühlstrasse,Bilten,8865
5,Luchswiesenstrasse,Bilten,8865
3,Luchswiesenstrasse,Bilten,8865
1,Luchswiesenstrasse,Bilten,8865
2,Rotwies,Bilten,8865
8,Hintergasse,Ennenda,8755
4,Hintergasse,Ennenda,8755
9,Hintergasse,Ennenda,8755
2,Hintergasse,Ennenda,8755
7,Hintergasse,Ennenda,8755
11,Hintergasse,Ennenda,8755
3,Hintergasse,Ennenda,8755
1,Hintergasse,Ennenda,8755
13,Hintergasse,Ennenda,8755
7a,Hintergasse,Ennenda,8755
7,Hohlensteinstrasse,Ennenda,8755
2,Hohlensteinstrasse,Ennenda,8755
4,Hohlensteinstrasse,Ennenda,8755
6,Hohlensteinstrasse,Ennenda,8755
10,Hohlensteinstrasse,Ennenda,8755
12,Hohlensteinstrasse,Ennenda,8755
8,Hohlensteinstrasse,Ennenda,8755
1,Hohlensteinstrasse,Ennenda,8755
3,Hohlensteinstrasse,Ennenda,8755
5,Hohlensteinstrasse,Ennenda,8755
14,Hohlensteinstrasse,Ennenda,8755
7a,Hohlensteinstrasse,Ennenda,8755
5a,Hohlensteinstrasse,Ennenda,8755
5b,Hohlensteinstrasse,Ennenda,8755
6,Hoschet,Ennenda,8755
4,Hoschet,Ennenda,8755
2,Hoschet,Ennenda,8755
12,Hoschet,Ennenda,8755
10,Hoschet,Ennenda,8755
20,Hoschet,Ennenda,8755
18,Hoschet,Ennenda,8755
16,Hoschet,Ennenda,8755
14,Hoschet,Ennenda,8755
8,Hoschet,Ennenda,8755
1,Hoschet,Ennenda,8755
22,Hoschet,Ennenda,8755
3,Hoschet,Ennenda,8755
5,Hoschet,Ennenda,8755
4,Kilchenstutz,Ennenda,8755
2,Kilchenstutz,Ennenda,8755
5,Kirchweg,Ennenda,8755
3,Kirchweg,Ennenda,8755
1,Kirchweg,Ennenda,8755
18,Kirchweg,Ennenda,8755
16,Kirchweg,Ennenda,8755
14,Kirchweg,Ennenda,8755
